ITEM,SID,EID
SVG,586205,2
SVG,586205,3
CKING,586406,1
SVG,586406,2
AUTO,586406,3
AUTO,586406,4
CKING,586410,1
MMDA,586410,2
CCRD,586410,3
HMEQLC,586410,4
MTG,586410,5
CKCRD,586410,6
CKCRD,586410,7
CKING,586609,1
SVG,586609,2
ATM,586609,3
AUTO,586609,4
AUTO,586609,5
CKING,586655,1
MMDA,586655,2
ATM,586655,3
ATM,586655,4
CKING,586909,1
MMDA,586909,2
CD,586909,3
CD,586909,4
CKING,586996,1
SVG,586996,2
ATM,586996,3
ATM,586996,4
CKING,587076,1
SVG,587076,2
HMEQLC,587076,3
MTG,587076,4
CKCRD,587076,5
CKCRD,587076,6
CKING,587185,1
SVG,587185,2
HMEQLC,587185,3
HMEQLC,587185,4
CKING,587306,1
IRA,587306,2
IRA,587306,3
CKING,587373,1
SVG,587373,2
SVG,587373,3
CKING,587395,1
MMDA,587395,2
SVG,587395,3
CCRD,587395,4
CKCRD,587395,5
CKCRD,587395,6
CKING,587454,1
SVG,587454,2
ATM,587454,3
HMEQLC,587454,4
HMEQLC,587454,5
ATM,587456,1
ATM,587456,2
CKING,587487,1
MMDA,587487,2
SVG,587487,3
CD,587487,4
ATM,587487,5
ATM,587487,6
CKING,587513,1
MMDA,587513,2
SVG,587513,3
ATM,587513,4
TRUST,587513,5
TRUST,587513,6
CKING,587589,1
SVG,587589,2
CD,587589,3
CCRD,587589,4
CKCRD,587589,5
CKCRD,587589,6
CKING,587592,1
ATM,587592,2
ATM,587592,3
CKING,587638,1
MMDA,587638,2
SVG,587638,3
CD,587638,4
ATM,587638,5
ATM,587638,6
CKING,587699,1
SVG,587699,2
ATM,587699,3
AUTO,587699,4
AUTO,587699,5
CKING,587758,1
CKING,587758,2
SVG,587817,1
SVG,587817,2
CKING,587921,1
MMDA,587921,2
SVG,587921,3
IRA,587921,4
ATM,587921,5
ATM,587921,6
CKING,587954,1
IRA,587954,2
IRA,587954,3
CKING,588002,1
CKING,588002,2
CKING,588106,1
MMDA,588106,2
ATM,588106,3
TRUST,588106,4
TRUST,588106,5
CKING,588129,1
CKING,588129,2
CKING,588152,1
SVG,588152,2
CD,588152,3
AUTO,588152,4
AUTO,588152,5
CKING,588175,1
SVG,588175,2
CKCRD,588175,3
CKCRD,588175,4
CKING,588205,1
SVG,588205,2
CD,588205,3
IRA,588205,4
TRUST,588205,5
TRUST,588205,6
CKING,588206,1
CD,588206,2
CD,588206,3
CKING,588265,1
MMDA,588265,2
IRA,588265,3
IRA,588265,4
SVG,588316,1
SVG,588316,2
CKING,588410,1
MMDA,588410,2
CD,588410,3
IRA,588410,4
IRA,588410,5
CKING,588474,1
SVG,588474,2
CD,588474,3
CD,588474,4
CKING,588544,1
SVG,588544,2
ATM,588544,3
HMEQLC,588544,4
AUTO,588544,5
AUTO,588544,6
CKING,588546,1
SVG,588546,2
CKCRD,588546,3
CKCRD,588546,4
CKING,588569,1
SVG,588569,2
AUTO,588569,3
AUTO,588569,4
AUTO,588652,1
AUTO,588652,2
CKING,588726,1
HMEQLC,588726,2
HMEQLC,588726,3
CKING,588916,1
SVG,588916,2
CD,588916,3
ATM,588916,4
CCRD,588916,5
CCRD,588916,6
CKING,588972,1
SVG,588972,2
HMEQLC,588972,3
HMEQLC,588972,4
CKING,588992,1
AUTO,588992,2
AUTO,588992,3
SVG,588995,1
SVG,588995,2
CKING,589010,1
SVG,589010,2
HMEQLC,589010,3
PLOAN,589010,4
CKCRD,589010,5
CKCRD,589010,6
CKING,589060,1
SVG,589060,2
HMEQLC,589060,3
HMEQLC,589060,4
CKING,589136,1
SVG,589136,2
CD,589136,3
ATM,589136,4
ATM,589136,5
CKING,589218,1
SVG,589218,2
SVG,589218,3
CD,589239,1
CD,589239,2
CKING,589590,1
MMDA,589590,2
SVG,589590,3
SVG,589590,4
CKING,589597,1
SVG,589597,2
ATM,589597,3
ATM,589597,4
SVG,589705,1
SVG,589705,2
CKING,589721,1
SVG,589721,2
CCRD,589721,3
CKCRD,589721,4
CKCRD,589721,5
SVG,589739,1
ATM,589739,2
ATM,589739,3
CKING,589745,1
SVG,589745,2
IRA,589745,3
ATM,589745,4
ATM,589745,5
CKING,589752,1
SVG,589752,2
SVG,589752,3
CKING,589756,1
CD,589756,2
CD,589756,3
SVG,589798,1
SVG,589798,2
CKING,589857,1
SVG,589857,2
SVG,589857,3
CKING,589858,1
ATM,589858,2
CCRD,589858,3
CCRD,589858,4
CKING,589904,1
CKING,589904,2
CKING,590120,1
ATM,590120,2
HMEQLC,590120,3
MTG,590120,4
MTG,590120,5
CKING,590167,1
MMDA,590167,2
SVG,590167,3
CD,590167,4
HMEQLC,590167,5
AUTO,590167,6
CKCRD,590167,7
CKCRD,590167,8
SVG,590191,1
MTG,590191,2
MTG,590191,3
CKING,590192,1
CKING,590192,2
CKING,590273,1
CKING,590273,2
CKING,590358,1
SVG,590358,2
CD,590358,3
CCRD,590358,4
CCRD,590358,5
CKING,590367,1
ATM,590367,2
ATM,590367,3
CKING,590516,1
MMDA,590516,2
SVG,590516,3
IRA,590516,4
TRUST,590516,5
TRUST,590516,6
CKING,590645,1
SVG,590645,2
ATM,590645,3
ATM,590645,4
SVG,590701,1
SVG,590701,2
CKING,590748,1
SVG,590748,2
SVG,590748,3
ATM,590778,1
ATM,590778,2
CKING,590788,1
SVG,590788,2
ATM,590788,3
ATM,590788,4
CKING,590813,1
SVG,590813,2
CCRD,590813,3
MTG,590813,4
MTG,590813,5
SVG,590860,1
CD,590860,2
IRA,590860,3
IRA,590860,4
CKING,590922,1
SVG,590922,2
CD,590922,3
IRA,590922,4
IRA,590922,5
CKING,591075,1
SVG,591075,2
SVG,591075,3
CKING,591108,1
CD,591108,2
CD,591108,3
SVG,591159,1
CD,591159,2
CD,591159,3
CKING,591203,1
SVG,591203,2
CCRD,591203,3
CCRD,591203,4
CKING,591220,1
MMDA,591220,2
SVG,591220,3
CCRD,591220,4
CKCRD,591220,5
CKCRD,591220,6
CKING,591250,1
SVG,591250,2
ATM,591250,3
HMEQLC,591250,4
MTG,591250,5
MTG,591250,6
CKING,591257,1
ATM,591257,2
HMEQLC,591257,3
HMEQLC,591257,4
CKING,591281,1
SVG,591281,2
CD,591281,3
CD,591281,4
CKING,591288,1
MMDA,591288,2
CD,591288,3
ATM,591288,4
CCRD,591288,5
CCRD,591288,6
CKING,591430,1
SVG,591430,2
ATM,591430,3
ATM,591430,4
SVG,591457,1
SVG,591457,2
CKING,591522,1
SVG,591522,2
ATM,591522,3
AUTO,591522,4
AUTO,591522,5
CKING,591637,1
MMDA,591637,2
IRA,591637,3
IRA,591637,4
CKING,591682,1
CKING,591682,2
CKING,591765,1
SVG,591765,2
CD,591765,3
IRA,591765,4
ATM,591765,5
TRUST,591765,6
TRUST,591765,7
CKING,591905,1
SVG,591905,2
SVG,591905,3
CKING,591926,1
SVG,591926,2
CKCRD,591926,3
CKCRD,591926,4
CKING,592066,1
SVG,592066,2
CCRD,592066,3
AUTO,592066,4
CKCRD,592066,5
CKCRD,592066,6
CKING,592079,1
SVG,592079,2
IRA,592079,3
IRA,592079,4
CKING,592090,1
SVG,592090,2
CD,592090,3
ATM,592090,4
CCRD,592090,5
AUTO,592090,6
AUTO,592090,7
CKING,592117,1
SVG,592117,2
CD,592117,3
ATM,592117,4
ATM,592117,5
CKING,592158,1
SVG,592158,2
ATM,592158,3
AUTO,592158,4
AUTO,592158,5
CKING,592225,1
ATM,592225,2
ATM,592225,3
CKING,592232,1
CKING,592232,2
CKING,592276,1
SVG,592276,2
ATM,592276,3
HMEQLC,592276,4
HMEQLC,592276,5
CKING,592294,1
SVG,592294,2
ATM,592294,3
MTG,592294,4
MTG,592294,5
CKING,592353,1
SVG,592353,2
ATM,592353,3
ATM,592353,4
CKING,592365,1
SVG,592365,2
ATM,592365,3
MTG,592365,4
MTG,592365,5
IRA,592373,1
IRA,592373,2
IRA,592423,1
IRA,592423,2
CD,592510,1
CD,592510,2
SVG,592524,1
SVG,592524,2
CKING,592553,1
SVG,592553,2
SVG,592553,3
CKING,592739,1
CKING,592739,2
CKING,592745,1
IRA,592745,2
IRA,592745,3
CKING,592784,1
SVG,592784,2
CD,592784,3
CD,592784,4
CKING,592841,1
CKCRD,592841,2
CKCRD,592841,3
CKING,592964,1
SVG,592964,2
HMEQLC,592964,3
HMEQLC,592964,4
CKING,593075,1
MMDA,593075,2
SVG,593075,3
CD,593075,4
CCRD,593075,5
MTG,593075,6
CKCRD,593075,7
CKCRD,593075,8
CKING,593228,1
MMDA,593228,2
MMDA,593228,3
CKING,593229,1
CD,593229,2
TRUST,593229,3
TRUST,593229,4
CKING,593318,1
SVG,593318,2
CD,593318,3
AUTO,593318,4
AUTO,593318,5
CKING,593377,1
SVG,593377,2
ATM,593377,3
HMEQLC,593377,4
HMEQLC,593377,5
CKING,593520,1
SVG,593520,2
ATM,593520,3
ATM,593520,4
CKING,593564,1
HMEQLC,593564,2
HMEQLC,593564,3
CKING,593589,1
SVG,593589,2
CD,593589,3
TRUST,593589,4
CKCRD,593589,5
CKCRD,593589,6
MMDA,593630,1
MMDA,593630,2
CKING,593652,1
CD,593652,2
ATM,593652,3
TRUST,593652,4
TRUST,593652,5
CKING,593665,1
SVG,593665,2
CD,593665,3
CD,593665,4
CKING,593715,1
HMEQLC,593715,2
HMEQLC,593715,3
CKING,593741,1
CCRD,593741,2
CKCRD,593741,3
CKCRD,593741,4
CKING,593800,1
SVG,593800,2
SVG,593800,3
CKING,593828,1
SVG,593828,2
IRA,593828,3
IRA,593828,4
SVG,594001,1
IRA,594001,2
IRA,594001,3
CKING,594038,1
SVG,594038,2
ATM,594038,3
CCRD,594038,4
AUTO,594038,5
AUTO,594038,6
CKING,594056,1
MMDA,594056,2
ATM,594056,3
ATM,594056,4
CKING,594086,1
SVG,594086,2
ATM,594086,3
ATM,594086,4
CKING,594134,1
SVG,594134,2
ATM,594134,3
ATM,594134,4
CKING,594208,1
SVG,594208,2
ATM,594208,3
ATM,594208,4
CKING,594252,1
MMDA,594252,2
ATM,594252,3
ATM,594252,4
CKING,594281,1
SVG,594281,2
ATM,594281,3
ATM,594281,4
CD,594422,1
CD,594422,2
CKING,594426,1
CD,594426,2
CD,594426,3
CKING,594437,1
ATM,594437,2
ATM,594437,3
CKING,594439,1
CKING,594439,2
CKING,594534,1
SVG,594534,2
CD,594534,3
IRA,594534,4
CCRD,594534,5
CCRD,594534,6
CD,594589,1
CD,594589,2
CKING,594712,1
CKING,594712,2
CKING,594785,1
SVG,594785,2
CD,594785,3
TRUST,594785,4
TRUST,594785,5
CKING,594794,1
CKCRD,594794,2
CKCRD,594794,3
CKING,594814,1
SVG,594814,2
SVG,594814,3
CKING,594837,1
SVG,594837,2
HMEQLC,594837,3
CKCRD,594837,4
CKCRD,594837,5
CKING,594849,1
CD,594849,2
ATM,594849,3
ATM,594849,4
CKING,594934,1
SVG,594934,2
ATM,594934,3
ATM,594934,4
CKING,594986,1
SVG,594986,2
CD,594986,3
AUTO,594986,4
AUTO,594986,5
CKING,595209,1
SVG,595209,2
IRA,595209,3
IRA,595209,4
IRA,595252,1
IRA,595252,2
CKING,595296,1
AUTO,595296,2
AUTO,595296,3
CKING,595374,1
SVG,595374,2
ATM,595374,3
CCRD,595374,4
CCRD,595374,5
CKING,595395,1
CD,595395,2
CD,595395,3
CKING,595453,1
CD,595453,2
ATM,595453,3
ATM,595453,4
CKING,595597,1
SVG,595597,2
SVG,595597,3
SVG,595638,1
SVG,595638,2
CKING,595646,1
MMDA,595646,2
CD,595646,3
CD,595646,4
CKING,595662,1
MMDA,595662,2
CD,595662,3
CD,595662,4
CKING,595688,1
SVG,595688,2
SVG,595688,3
SVG,595710,1
SVG,595710,2
CKING,595751,1
MMDA,595751,2
SVG,595751,3
CD,595751,4
IRA,595751,5
ATM,595751,6
CCRD,595751,7
CCRD,595751,8
CKING,595853,1
SVG,595853,2
CD,595853,3
ATM,595853,4
ATM,595853,5
CKING,595968,1
CKING,595968,2
SVG,595976,1
SVG,595976,2
CKING,596107,1
SVG,596107,2
CCRD,596107,3
CKCRD,596107,4
CKCRD,596107,5
CKING,596295,1
SVG,596295,2
ATM,596295,3
ATM,596295,4
CKING,596326,1
SVG,596326,2
SVG,596326,3
CKING,596490,1
SVG,596490,2
ATM,596490,3
HMEQLC,596490,4
MTG,596490,5
MTG,596490,6
CKING,596585,1
SVG,596585,2
CD,596585,3
AUTO,596585,4
CKCRD,596585,5
CKCRD,596585,6
CKING,596595,1
SVG,596595,2
CD,596595,3
IRA,596595,4
ATM,596595,5
HMEQLC,596595,6
HMEQLC,596595,7
CKING,596658,1
CD,596658,2
ATM,596658,3
HMEQLC,596658,4
HMEQLC,596658,5
CKING,596696,1
SVG,596696,2
CKCRD,596696,3
CKCRD,596696,4
CKING,596700,1
SVG,596700,2
ATM,596700,3
MTG,596700,4
MTG,596700,5
CKING,596729,1
SVG,596729,2
IRA,596729,3
ATM,596729,4
CCRD,596729,5
CCRD,596729,6
CKING,596747,1
CCRD,596747,2
HMEQLC,596747,3
HMEQLC,596747,4
CKING,596785,1
CD,596785,2
ATM,596785,3
TRUST,596785,4
TRUST,596785,5
CKING,596842,1
SVG,596842,2
CD,596842,3
ATM,596842,4
ATM,596842,5
ATM,596881,1
ATM,596881,2
CKING,596904,1
SVG,596904,2
CD,596904,3
CD,596904,4
CKING,597010,1
MMDA,597010,2
SVG,597010,3
TRUST,597010,4
TRUST,597010,5
CKING,597044,1
MMDA,597044,2
SVG,597044,3
CD,597044,4
CCRD,597044,5
HMEQLC,597044,6
CKCRD,597044,7
CKCRD,597044,8
CKING,597233,1
SVG,597233,2
SVG,597233,3
CKING,597264,1
SVG,597264,2
SVG,597264,3
SVG,597268,1
SVG,597268,2
CKING,597298,1
CKING,597298,2
CKING,597550,1
SVG,597550,2
CD,597550,3
CD,597550,4
CKING,597607,1
MMDA,597607,2
CD,597607,3
HMEQLC,597607,4
HMEQLC,597607,5
CKING,597648,1
SVG,597648,2
CD,597648,3
TRUST,597648,4
TRUST,597648,5
CKING,597696,1
MMDA,597696,2
CD,597696,3
ATM,597696,4
ATM,597696,5
CKING,597722,1
SVG,597722,2
CCRD,597722,3
CKCRD,597722,4
CKCRD,597722,5
CKING,597746,1
SVG,597746,2
CD,597746,3
CD,597746,4
CKING,597945,1
SVG,597945,2
CD,597945,3
ATM,597945,4
ATM,597945,5
CKING,597969,1
CD,597969,2
ATM,597969,3
ATM,597969,4
CKING,598014,1
SVG,598014,2
ATM,598014,3
HMEQLC,598014,4
AUTO,598014,5
AUTO,598014,6
CKING,598104,1
MMDA,598104,2
SVG,598104,3
IRA,598104,4
CCRD,598104,5
HMEQLC,598104,6
MTG,598104,7
AUTO,598104,8
CKCRD,598104,9
CKCRD,598104,10
CD,598110,1
CD,598110,2
CKING,598200,1
SVG,598200,2
ATM,598200,3
ATM,598200,4
CKING,598259,1
ATM,598259,2
ATM,598259,3
CKING,598287,1
SVG,598287,2
IRA,598287,3
IRA,598287,4
CKING,598316,1
SVG,598316,2
CD,598316,3
HMEQLC,598316,4
HMEQLC,598316,5
CKING,598326,1
MMDA,598326,2
SVG,598326,3
ATM,598326,4
CCRD,598326,5
HMEQLC,598326,6
HMEQLC,598326,7
CKING,598382,1
SVG,598382,2
ATM,598382,3
ATM,598382,4
CKING,598428,1
ATM,598428,2
CCRD,598428,3
CCRD,598428,4
CKING,598431,1
CKING,598431,2
ATM,598448,1
ATM,598448,2
CKING,598523,1
SVG,598523,2
AUTO,598523,3
CKCRD,598523,4
CKCRD,598523,5
CKING,598547,1
SVG,598547,2
CKCRD,598547,3
CKCRD,598547,4
CKING,598581,1
SVG,598581,2
HMEQLC,598581,3
PLOAN,598581,4
AUTO,598581,5
AUTO,598581,6
SVG,598582,1
SVG,598582,2
CKING,598591,1
SVG,598591,2
CD,598591,3
CD,598591,4
CKING,598623,1
SVG,598623,2
IRA,598623,3
HMEQLC,598623,4
HMEQLC,598623,5
CKING,598639,1
SVG,598639,2
HMEQLC,598639,3
AUTO,598639,4
AUTO,598639,5
CKING,598707,1
SVG,598707,2
CD,598707,3
ATM,598707,4
CCRD,598707,5
HMEQLC,598707,6
HMEQLC,598707,7
CKING,598819,1
SVG,598819,2
CD,598819,3
CCRD,598819,4
HMEQLC,598819,5
AUTO,598819,6
AUTO,598819,7
CD,598974,1
CD,598974,2
CKING,599024,1
SVG,599024,2
ATM,599024,3
MTG,599024,4
MTG,599024,5
CKING,599234,1
SVG,599234,2
SVG,599234,3
CKING,599259,1
CKCRD,599259,2
CKCRD,599259,3
CKING,599362,1
SVG,599362,2
CD,599362,3
ATM,599362,4
CCRD,599362,5
TRUST,599362,6
TRUST,599362,7
CKING,599440,1
SVG,599440,2
ATM,599440,3
ATM,599440,4
CKING,599545,1
ATM,599545,2
MTG,599545,3
MTG,599545,4
AUTO,599557,1
AUTO,599557,2
SVG,599639,1
SVG,599639,2
CKING,599751,1
ATM,599751,2
ATM,599751,3
CKING,599754,1
MMDA,599754,2
CD,599754,3
IRA,599754,4
ATM,599754,5
HMEQLC,599754,6
HMEQLC,599754,7
CKING,599897,1
SVG,599897,2
SVG,599897,3
CD,599899,1
CD,599899,2
CKING,599942,1
SVG,599942,2
MTG,599942,3
CKCRD,599942,4
CKCRD,599942,5
CKING,599980,1
ATM,599980,2
ATM,599980,3
CKING,600087,1
ATM,600087,2
MTG,600087,3
MTG,600087,4
CKING,600088,1
MMDA,600088,2
MMDA,600088,3
CKING,600198,1
MMDA,600198,2
ATM,600198,3
ATM,600198,4
CKING,600304,1
SVG,600304,2
ATM,600304,3
ATM,600304,4
CKING,600377,1
CKING,600377,2
CKING,600706,1
SVG,600706,2
ATM,600706,3
ATM,600706,4
CKING,600744,1
SVG,600744,2
ATM,600744,3
HMEQLC,600744,4
HMEQLC,600744,5
CKING,600764,1
MMDA,600764,2
CD,600764,3
CD,600764,4
CKING,600781,1
SVG,600781,2
IRA,600781,3
CCRD,600781,4
CCRD,600781,5
CKING,600892,1
SVG,600892,2
SVG,600892,3
CKING,601044,1
SVG,601044,2
ATM,601044,3
ATM,601044,4
CKING,601104,1
ATM,601104,2
AUTO,601104,3
AUTO,601104,4
CKING,601108,1
SVG,601108,2
CCRD,601108,3
AUTO,601108,4
CKCRD,601108,5
CKCRD,601108,6
CKING,601225,1
ATM,601225,2
MTG,601225,3
MTG,601225,4
CKING,601244,1
SVG,601244,2
CD,601244,3
IRA,601244,4
ATM,601244,5
CCRD,601244,6
TRUST,601244,7
TRUST,601244,8
CKING,601263,1
MMDA,601263,2
SVG,601263,3
CD,601263,4
CCRD,601263,5
HMEQLC,601263,6
TRUST,601263,7
CKCRD,601263,8
CKCRD,601263,9
CKING,601404,1
SVG,601404,2
CD,601404,3
CD,601404,4
CKING,601451,1
ATM,601451,2
ATM,601451,3
CKING,601511,1
ATM,601511,2
HMEQLC,601511,3
HMEQLC,601511,4
CKING,601517,1
IRA,601517,2
ATM,601517,3
AUTO,601517,4
AUTO,601517,5
CKING,601615,1
SVG,601615,2
SVG,601615,3
MMDA,601702,1
MMDA,601702,2
CKING,601713,1
ATM,601713,2
ATM,601713,3
CKING,601822,1
CKING,601822,2
SVG,601913,1
SVG,601913,2
CKING,601918,1
CD,601918,2
CD,601918,3
CKING,601930,1
CKING,601930,2
CKING,602040,1
IRA,602040,2
ATM,602040,3
AUTO,602040,4
AUTO,602040,5
CKING,602154,1
ATM,602154,2
CCRD,602154,3
HMEQLC,602154,4
HMEQLC,602154,5
CKING,602255,1
SVG,602255,2
HMEQLC,602255,3
CKCRD,602255,4
CKCRD,602255,5
CKING,602330,1
MMDA,602330,2
SVG,602330,3
CCRD,602330,4
HMEQLC,602330,5
MTG,602330,6
CKCRD,602330,7
CKCRD,602330,8
CKING,602406,1
SVG,602406,2
IRA,602406,3
ATM,602406,4
ATM,602406,5
CKING,602489,1
MMDA,602489,2
SVG,602489,3
CD,602489,4
CD,602489,5
CKING,602717,1
MMDA,602717,2
SVG,602717,3
ATM,602717,4
ATM,602717,5
CKING,602737,1
SVG,602737,2
AUTO,602737,3
AUTO,602737,4
SVG,602747,1
ATM,602747,2
ATM,602747,3
CKING,602837,1
ATM,602837,2
MTG,602837,3
MTG,602837,4
CKING,602920,1
ATM,602920,2
HMEQLC,602920,3
MTG,602920,4
MTG,602920,5
MMDA,602938,1
MMDA,602938,2
SVG,602986,1
SVG,602986,2
CKING,603028,1
CD,603028,2
TRUST,603028,3
TRUST,603028,4
CKING,603129,1
SVG,603129,2
ATM,603129,3
HMEQLC,603129,4
HMEQLC,603129,5
CKING,603151,1
SVG,603151,2
IRA,603151,3
ATM,603151,4
ATM,603151,5
CKING,603168,1
MMDA,603168,2
ATM,603168,3
HMEQLC,603168,4
HMEQLC,603168,5
CKING,603178,1
SVG,603178,2
ATM,603178,3
ATM,603178,4
CKING,603208,1
MMDA,603208,2
MMDA,603208,3
CKING,603223,1
CD,603223,2
MTG,603223,3
MTG,603223,4
CKING,603263,1
MMDA,603263,2
SVG,603263,3
CCRD,603263,4
HMEQLC,603263,5
HMEQLC,603263,6
CKING,603463,1
SVG,603463,2
CD,603463,3
IRA,603463,4
CCRD,603463,5
CKCRD,603463,6
CKCRD,603463,7
MMDA,603634,1
SVG,603634,2
SVG,603634,3
CKING,603636,1
SVG,603636,2
CCRD,603636,3
HMEQLC,603636,4
MTG,603636,5
CKCRD,603636,6
CKCRD,603636,7
CKING,603663,1
CD,603663,2
CD,603663,3
CKING,604125,1
SVG,604125,2
ATM,604125,3
ATM,604125,4
CKING,604207,1
ATM,604207,2
ATM,604207,3
CKING,604266,1
SVG,604266,2
ATM,604266,3
HMEQLC,604266,4
HMEQLC,604266,5
CKING,604324,1
ATM,604324,2
ATM,604324,3
CKING,604334,1
MMDA,604334,2
SVG,604334,3
ATM,604334,4
HMEQLC,604334,5
HMEQLC,604334,6
SVG,604365,1
ATM,604365,2
ATM,604365,3
CKING,604491,1
SVG,604491,2
SVG,604491,3
CKING,604562,1
MMDA,604562,2
CCRD,604562,3
CKCRD,604562,4
CKCRD,604562,5
CKING,604665,1
MMDA,604665,2
SVG,604665,3
SVG,604665,4
ATM,604675,1
ATM,604675,2
CKING,604698,1
SVG,604698,2
ATM,604698,3
HMEQLC,604698,4
HMEQLC,604698,5
CKING,604775,1
MMDA,604775,2
SVG,604775,3
SVG,604775,4
SVG,604908,1
SVG,604908,2
CKING,604966,1
MMDA,604966,2
ATM,604966,3
ATM,604966,4
CKING,605128,1
SVG,605128,2
ATM,605128,3
ATM,605128,4
CKING,605157,1
MMDA,605157,2
MMDA,605157,3
CKING,605206,1
SVG,605206,2
SVG,605206,3
CKING,605267,1
CCRD,605267,2
CCRD,605267,3
CKING,605373,1
SVG,605373,2
ATM,605373,3
ATM,605373,4
MMDA,605511,1
CCRD,605511,2
CCRD,605511,3
CKING,605550,1
SVG,605550,2
MTG,605550,3
MTG,605550,4
CKING,605551,1
SVG,605551,2
ATM,605551,3
HMEQLC,605551,4
HMEQLC,605551,5
CKING,605570,1
SVG,605570,2
ATM,605570,3
ATM,605570,4
CKING,605599,1
SVG,605599,2
HMEQLC,605599,3
HMEQLC,605599,4
CKING,605653,1
SVG,605653,2
CKCRD,605653,3
CKCRD,605653,4
CKING,605677,1
SVG,605677,2
CD,605677,3
ATM,605677,4
HMEQLC,605677,5
AUTO,605677,6
AUTO,605677,7
CKING,605832,1
SVG,605832,2
ATM,605832,3
ATM,605832,4
CKING,605841,1
CD,605841,2
CD,605841,3
CKING,605855,1
SVG,605855,2
ATM,605855,3
ATM,605855,4
CKING,605874,1
SVG,605874,2
IRA,605874,3
IRA,605874,4
IRA,605909,1
IRA,605909,2
CKING,605914,1
SVG,605914,2
ATM,605914,3
HMEQLC,605914,4
AUTO,605914,5
AUTO,605914,6
ATM,605991,1
ATM,605991,2
CKING,606093,1
SVG,606093,2
AUTO,606093,3
AUTO,606093,4
CKING,606148,1
SVG,606148,2
SVG,606148,3
CKING,606227,1
SVG,606227,2
HMEQLC,606227,3
MTG,606227,4
MTG,606227,5
SVG,606341,1
IRA,606341,2
IRA,606341,3
CKING,606632,1
SVG,606632,2
ATM,606632,3
ATM,606632,4
CKING,606685,1
HMEQLC,606685,2
HMEQLC,606685,3
MMDA,606698,1
MMDA,606698,2
CKING,606729,1
MMDA,606729,2
CCRD,606729,3
MTG,606729,4
TRUST,606729,5
TRUST,606729,6
CKING,606743,1
MMDA,606743,2
SVG,606743,3
CD,606743,4
CCRD,606743,5
HMEQLC,606743,6
TRUST,606743,7
PLOAN,606743,8
CKCRD,606743,9
CKCRD,606743,10
CKING,606776,1
MMDA,606776,2
CD,606776,3
HMEQLC,606776,4
HMEQLC,606776,5
CKING,606786,1
SVG,606786,2
ATM,606786,3
ATM,606786,4
SVG,606810,1
SVG,606810,2
CKING,606882,1
SVG,606882,2
SVG,606882,3
CKING,606891,1
HMEQLC,606891,2
HMEQLC,606891,3
CKING,606898,1
SVG,606898,2
IRA,606898,3
IRA,606898,4
CKING,606908,1
ATM,606908,2
HMEQLC,606908,3
HMEQLC,606908,4
CKING,606928,1
CKING,606928,2
CKING,607030,1
SVG,607030,2
SVG,607030,3
CKING,607110,1
SVG,607110,2
CD,607110,3
CD,607110,4
CKING,607240,1
SVG,607240,2
CD,607240,3
CD,607240,4
CKING,607252,1
MMDA,607252,2
ATM,607252,3
TRUST,607252,4
TRUST,607252,5
CKING,607283,1
CKING,607283,2
CKING,607320,1
MMDA,607320,2
CCRD,607320,3
CCRD,607320,4
CKING,607336,1
IRA,607336,2
CCRD,607336,3
CCRD,607336,4
CKING,607354,1
MMDA,607354,2
SVG,607354,3
CD,607354,4
TRUST,607354,5
TRUST,607354,6
CKING,607361,1
MMDA,607361,2
MMDA,607361,3
CKING,607423,1
IRA,607423,2
ATM,607423,3
ATM,607423,4
CKING,607787,1
SVG,607787,2
ATM,607787,3
ATM,607787,4
CKING,607818,1
ATM,607818,2
ATM,607818,3
CKING,607871,1
MMDA,607871,2
CD,607871,3
CD,607871,4
CKING,608047,1
SVG,608047,2
ATM,608047,3
ATM,608047,4
CKING,608079,1
HMEQLC,608079,2
HMEQLC,608079,3
CKING,608110,1
SVG,608110,2
ATM,608110,3
ATM,608110,4
CKING,608142,1
MMDA,608142,2
SVG,608142,3
CCRD,608142,4
HMEQLC,608142,5
CKCRD,608142,6
CKCRD,608142,7
CKING,608163,1
CKING,608163,2
CKING,608172,1
CKING,608172,2
CKING,608267,1
MMDA,608267,2
SVG,608267,3
CD,608267,4
CCRD,608267,5
CKCRD,608267,6
CKCRD,608267,7
CKING,608285,1
MMDA,608285,2
TRUST,608285,3
TRUST,608285,4
CKING,608325,1
SVG,608325,2
ATM,608325,3
HMEQLC,608325,4
HMEQLC,608325,5
CKING,608414,1
MMDA,608414,2
HMEQLC,608414,3
TRUST,608414,4
TRUST,608414,5
CKING,608421,1
SVG,608421,2
AUTO,608421,3
AUTO,608421,4
CKING,608426,1
SVG,608426,2
CD,608426,3
IRA,608426,4
CCRD,608426,5
CCRD,608426,6
CKING,608471,1
CD,608471,2
CD,608471,3
CKING,608480,1
MMDA,608480,2
SVG,608480,3
CD,608480,4
ATM,608480,5
MTG,608480,6
TRUST,608480,7
PLOAN,608480,8
AUTO,608480,9
AUTO,608480,10
CKING,608512,1
SVG,608512,2
CD,608512,3
ATM,608512,4
MTG,608512,5
MTG,608512,6
CKING,608622,1
CCRD,608622,2
CCRD,608622,3
CKING,608759,1
HMEQLC,608759,2
HMEQLC,608759,3
CKING,608814,1
ATM,608814,2
ATM,608814,3
CKING,608827,1
CKING,608827,2
CD,608913,1
CD,608913,2
CKING,608974,1
ATM,608974,2
ATM,608974,3
CKING,608991,1
